"Name","Dragon.Year","Sex","Time.in.pop","AgeClass","ActiveFungus","InfectedDensity.Annual","Name2"
"Luigi",2015,"Male",1622.44444444444,"Juvenile",0,3.53723588079918e-06,"Luigi"
"Magnum",2015,"Male",1461.5,"Adult",0,0.000103256996291438,"Magnum"
"Mango",2015,"Female",1629.625,"Juvenile",0,0,"Mango"
"Marcos",2015,"Male",1433,"Adult",0,0,"Marcos"
"Marian",2015,"Female",260.545454545455,"Adult",0,6.80218712926108e-11,"Marian"
"Mark",2015,"Male",894.625,"Adult",0,0.000132089255454004,"Mark"
"Marley",2015,"Male",183.666666666667,"Juvenile",0,3.17898103334303e-07,"Marley"
"Martha",2015,"Female",838,"Adult",0,0.000107337213917752,"Martha"
"Martin",2015,"Male",972.263157894737,"Adult",1,0.000274501955622821,"Martin"
"Marzipan",2015,"Female",863,"Adult",0,1.01133409970097e-07,"Marzipan"
"Meaty",2015,"Male",1773.83333333333,"Adult",0,2.62648143320804e-08,"Meaty"
"Melon",2015,"Female",1597.32692307692,"Adult",0,5.95668484726792e-10,"Melon"
